Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1620.1483
FDW14,OUT017,1451.8528
NCN55,OUT010,528.51953
FDQ58,OUT017,2503.7983
FDY38,OUT027,6102.745
FDH56,OUT046,1998.4764
FDL48,OUT018,683.7704
FDC48,OUT027,2215.9114
FDN33,OUT045,1563.8184
FDA36,OUT017,3079.2715
FDT44,OUT017,1979.2543
FDQ56,OUT045,1361.7389
NCC54,OUT019,548.404
FDU11,OUT049,2093.7268
DRL59,OUT013,767.69354
FDM24,OUT049,2471.5796
FDI57,OUT045,3041.2183
DRC12,OUT018,2851.5693
NCM42,OUT027,3002.3591
FDA46,OUT010,473.92865
FDA31,OUT013,2945.565
NCJ31,OUT035,3948.2683
FDG52,OUT046,741.26624
NCL19,OUT019,335.04974
FDS10,OUT035,2991.042
FDX22,OUT010,701.43634
NCF19,OUT035,744.9856
NCE06,OUT046,2648.5334
DRC27,OUT046,3898.376
FDE21,OUT035,1953.2646
NCR42,OUT019,90.46499
FDX51,OUT018,2848.9482
NCR06,OUT018,597.56555
FDU31,OUT027,5497.983
FDU59,OUT017,2645.3003
FDR03,OUT027,5617.495
FDS49,OUT027,2215.9114
FDD48,OUT010,249.0658
NCF18,OUT017,3079.2715
NCD43,OUT027,2775.2231
NCD54,OUT018,1938.104
FDY19,OUT010,258.34814
NCY54,OUT017,2935.6653
NCL19,OUT018,2267.4172
FDP23,OUT010,667.0314
FDC26,OUT013,1835.624
FDR14,OUT010,154.45453
NCS41,OUT035,3078.2434
FDF41,OUT035,3998.3481
FDU34,OUT046,2090.0125
DRH11,OUT046,848.7835
FDM03,OUT013,1612.9935
FDS31,OUT017,3005.8157
FDJ20,OUT017,2041.7758
FDV44,OUT027,5382.3345
FDG02,OUT049,3082.5935
FDA09,OUT013,3011.652
FDT04,OUT013,664.1547
FDL58,OUT019,564.1024
FDE52,OUT045,1479.9359
FDW12,OUT035,2468.942
FDL51,OUT017,3724.7383
NCY42,OUT027,3148.42
FDR07,OUT017,1564.4653
FDN40,OUT045,2500.1663
FDB35,OUT027,2749.5593
FDA22,OUT017,2654.5488
NCL06,OUT046,4124.6514
FDI35,OUT013,3011.652
NCW42,OUT045,3786.3652
NCX06,OUT049,2994.42
FDC37,OUT027,2878.79
FDZ14,OUT018,1905.485
DRG49,OUT049,3908.325
NCG06,OUT045,3981.7776
DRC36,OUT045,2924.647
FDV21,OUT019,307.06696
FDB53,OUT046,2468.1284
DRP47,OUT019,617.3104
FDA14,OUT013,2458.0464
DRC24,OUT035,2511.8152
FDW21,OUT018,1503.9248
NCH29,OUT046,1564.1497
FDU58,OUT013,3091.8132
FDY27,OUT017,2950.548
FDV56,OUT035,1611.5001
FDT59,OUT046,3845.0195
FDB23,OUT046,3821.9146
FDR49,OUT045,744.33875
FDB03,OUT010,528.51953
FDN39,OUT045,2657.8787
FDX02,OUT027,5664.716
FDQ16,OUT027,2878.79
FDU35,OUT018,1490.2378
NCT29,OUT013,2072.287
FDZ27,OUT046,741.26624
FDN57,OUT017,2041.7758
FDA03,OUT018,2267.4172
FDZ36,OUT045,3059.24
NCU05,OUT013,1308.0089
FDT39,OUT018,2267.4172
FDK60,OUT017,1566.4995
FDZ25,OUT017,2851.3616
FDG12,OUT046,2090.0125
DRB01,OUT019,512.16925
NCC43,OUT027,6029.869
FDX13,OUT019,557.91364
FDM22,OUT049,787.0099
FDJ03,OUT027,1307.198
FDU14,OUT018,3398.2048
FDB33,OUT010,411.35397
FDP27,OUT046,3068.4573
FDO38,OUT010,174.28554
FDE28,OUT027,6164.8574
FDO27,OUT035,1564.4653
DRL23,OUT027,2878.79
FDS28,OUT046,848.7835
FDX24,OUT013,1518.4131
FDZ02,OUT035,1564.4653
FDL46,OUT045,1952.6176
FDS60,OUT027,4870.237
NCO06,OUT017,658.331
FDO16,OUT035,1333.1549
FDC60,OUT049,1436.9056
FDA48,OUT018,3285.1296
FDZ36,OUT027,5392.659
FDK27,OUT045,2041.1287
FDW23,OUT018,582.725
FDM14,OUT018,1685.2079
FDM14,OUT013,1612.9935
FDW60,OUT018,2729.95
FDE21,OUT013,1980.7509
NCM42,OUT035,1611.5001
FDY59,OUT010,183.43625
DRI49,OUT049,1306.096
FDT28,OUT019,326.60455
FDQ22,OUT018,582.725
FDR60,OUT049,1251.4716
FDC50,OUT019,258.9404
FDV24,OUT013,2473.7424
DRF48,OUT010,450.26978
FDQ47,OUT046,660.4191
DRN36,OUT049,1564.1497
NCY06,OUT035,2041.7758
FDE52,OUT035,1480.5829
NCB54,OUT045,2041.1287
NCF31,OUT035,2484.638
FDJ08,OUT027,5213.752
NCC07,OUT017,1611.5001
NCD19,OUT027,1401.7753
FDL46,OUT049,2031.2053
FDM20,OUT045,3910.7039
NCI06,OUT010,485.08673
DRM11,OUT035,4136.8857
NCH07,OUT018,2437.4263
FDS23,OUT013,2072.287
FDO49,OUT018,683.7704
FDS35,OUT049,986.22235
DRK39,OUT045,1321.009
DRI39,OUT049,833.6721
FDV04,OUT017,2626.7183
NCN14,OUT035,3065.1497
FDH08,OUT013,3853.1567
FDS20,OUT046,3078.4817
FDV40,OUT049,1082.1703
FDZ48,OUT010,245.06665
FDS24,OUT027,2603.5317
FDK44,OUT049,2940.701
FDS48,OUT045,2461.5864
FDK26,OUT010,462.60992
FDD23,OUT045,3055.543
NCH54,OUT017,2645.3003
NCP14,OUT010,308.0139
FDM60,OUT010,108.70648
FDV24,OUT017,2464.1775
FDH08,OUT018,3346.6453
FDS12,OUT027,3174.6184
FDR39,OUT027,4853.0
FDP12,OUT027,1062.922
DRF60,OUT027,6102.745
FDC09,OUT035,1611.5001
FDF50,OUT018,3043.6636
FDG28,OUT035,3948.2683
NCE19,OUT017,836.8612
NCM53,OUT010,301.5622
NCN18,OUT049,1833.2039
FDF32,OUT035,3070.118
FDF11,OUT013,3909.9956
DRI59,OUT049,3828.381
NCG54,OUT035,2859.6067
FDM44,OUT046,1618.0636
FDT57,OUT018,3346.6453
FDV24,OUT046,2468.1284
FDI50,OUT019,559.85614
FDS09,OUT035,770.428
NCC31,OUT027,4338.9556
FDQ07,OUT019,547.8786
FDC22,OUT017,3079.2715
FDZ56,OUT046,2851.152
FDZ40,OUT019,199.83678
FDS46,OUT027,2967.3237
DRD24,OUT045,2041.1287
FDV45,OUT017,3079.2715
FDL26,OUT045,2506.6353
FDA56,OUT018,1905.485
FDN27,OUT046,1998.4764
FDM20,OUT049,3908.325
FDO16,OUT017,1319.1129
FDL03,OUT035,3065.598
FDE58,OUT046,1998.4764
FDI02,OUT027,3083.6787
NCC55,OUT019,86.32748
FDR03,OUT018,3196.0764
FDB14,OUT017,1516.9197
FDR45,OUT013,3909.9956
